recipe_id,step_number,step_text,user_id
2,6,"Scatter arugula over the pizza.  Garnish with the remaining Parmesan, then drizzle over 1 teaspoon of olive oil.  Cut the pizza into slices and serve.",2
3,1,Preheat oven to 400 degrees Fahrenheit.,2
3,2,"Cut off the brown ends of the Brussels sprouts and cut in half. Mix them in a bowl with the olive oil. Pour them on two baking sheets and roast for 30-35 minutes, until crisp on the outside and tender on the inside.",2
3,3,"Combine the balsamic vinegar and sugar in a saucepan. Bring to a boil, then reduce the heat to medium-low and reduce until glaze is thick and syrupy, about 20 minutes.",2
3,4,Drizzle the balsamic reduction over the roasted sprouts. Sprinkle with dried cranberries and serve immediately.,2
4,1,Preheat oven to 400 degrees Fahrenheit.,2
4,2,"While pupusa dough stiffens, halve the lime. Rinse remaining produce. Cut tomatoes into 1/4-inch dice. Roughly chop cilantro leaves, discarding stems. Peel onion and mince half. Halve the jalapeño lengthwise and using a knife tip, discard the seeds and finely chop as much as desired.",2
4,3,Mozzarella cheese / Zucchini - Prep as directed. Store separately.,2
4,4,Tomatoes / Peaches - Prep as directed. ,2
4,5,Spread zucchini on a cookie sheet and brush with cooking oil.  Season with salt and pepper.  Roast zucchini until tender (about 15 minutes).,2
4,6,Spread naan on a second sheet pan. Top naan with pesto and then cheese. Transfer to oven and bake until naan is golden brown and cheese is bubbly (about 10 to 12 minutes).,2
4,7,Toss tomatoes with balsamic vinegar and season with some salt and pepper. Spoon tomatoes over naan.,2
4,8,Serve naan pizzas with zucchini and peaches on the side. Enjoy!,2
5,1,"In a large bowl, stir together masa harina and 1 teaspoon of salt. Stir in 1 cup of warm water, a little at a time, until combined. Cover with a damp paper towel and set aside to stiffen at room temperature for 10-15 minutes.",2
5,2,"While pupusa dough stiffens, halve the lime. Rinse remaining produce. Cut tomatoes into 1/4-inch dice. Roughly chop cilantro leaves, discarding stems. Peel onion and mince half. Halve the jalapeno lengthwise and using a knife tip, discard the seeds and finely chop as much as desired.",2
5,3,"Heat 1/2 tablespoon of olive oil in a large nonstick pan over medium-high heat. When oil is shimmering, add beef. Season with spice mix and salt. Cook, breaking up with the back of a spoon, until browned, about 5 minutes. Using a slotted spoon, transfer to a bowl, discarding liquid in pan. Set aside.",2
5,4,"While beef browns, divide pupusa dough evenly into 6 pieces and form into balls, about 2 inches in diameter. Using your thumb, create a dimple in the center of each. Stuff each indent with about 2 teaspoons of the cheese mix, reserving the remainder for topping. Push dough back over cheese to cover. Gently stretch and pat down to form 2-3 inch wide patties. Don’t worry if some cheese is exposed, it’ll get brown and crispy in the pan.",2
5,5,"Wipe pan from beef clean and add 2 tablespoons canola oil over medium-high heat. When oil is shimmering, add pupusas in a single layer and sear until golden on bottom (about 3 minutes). Flip and sprinkle over remaining cheese mix. Sear until golden all over and cheese is melted (about 2 minutes). Spoon over beef and cook until warmed through (about 1 minute).",2
5,6,"In a medium bowl, stir together juice of 1 lime, tomatoes, cilantro, jalapeno, and onion. Season with ¼ teaspoon salt. Dollop pico de gallo over beef pupusas.",2
6,1,Wash and dry all produce. Adjust rack to upper position and preheat oven to 450 degrees. Halve and peel shallots. Finely mince one and thinly slice the other. ,2
6,2,"Melt half the garlic herb butter (about 1 TBSP) in a medium pot over medium-high heat. Add minced shallot. Cook, stirring, until just softened, 2-3 minutes. Stir in 1 cup water, half of the stock concentrate, and a pinch of salt. Bring to a boil. Add couscous, remove from heat, and cover. Keep covered until ready to serve.",2
6,3,"Heat a drizzle of oil in a large pan over medium-high heat. Season pork all over with salt and pepper. Add to pan and cook until browned on surface, 3-4 minutes per side. Transfer to a baking sheet, placing toward one side. Toss broccoli on other side of sheet with a drizzle of oil and a pinch of salt and pepper.",2
6,4,"Place sheet in oven and roast until pork is cooked through and broccoli is tender and lightly crisped, 10-15 minutes. (TIP: Keep an eye on pork; it may be done before broccoli.) Meanwhile, lower heat under same pan to medium. Add a drizzle of oil and sliced shallot. Cook, tossing, until lightly browned, 4-5 minutes. Pour vinegar into pan and let simmer until reduced by half.",2
6,5,"Stir jam, ½ cup water, and remaining stock concentrate into pan. Bring to a simmer and cook until reduced by about half, 3-5 minutes. Season with salt, pepper, and ¼ tsp sugar to taste. Remove pan from heat. Add 1 TBSP plain butter and stir to melt. Fluff couscous with a fork and stir in remaining garlic herb butter. Once pork is done, return pan with sauce to medium heat. Add pork, flipping to coat.",2
6,6,"Hold pork over pan with tongs, letting excess sauce drip off, then transfer to a cutting board. Let rest 1-2 minutes, then slice. Divide couscous between plates and arrange pork on top. Drizzle with any remaining sauce. Serve with broccoli on the side.",2
7,1,Preheat oven to 375F. Mince garlic. Trim and discard skin of ginger and mince. Rinse pea tendrils and spinach.,2
7,2,"In a large bowl, combine spice mix, yogurt, and chicken. Season with salt and pepper as desired. Using your hands, mix well. Divide mixture evenly and form into 8 meatballs, about 1 1/2 inches in diameter. Arrange on a foil-lined baking sheet, spacing apart evenly.",2
7,3,"Transfer meatballs to oven and bake until golden on outside and cooked through, 10-12 minutes.",2
7,4,"While meatballs bake, heat half of ghee in a large pan over medium heat. When ghee is foamy, add half of the garlic and half of the ginger and sauté, stirring, until fragrant (1-2 minutes). Add pea tendrils and spinach. Season with salt and pepper as desired. Sauté, stirring until wilted (2-3 minutes more). Transfer greens to 2 plates, dividing evenly.",2
7,5,"Wipe pan from greens clean and add remaining ghee over medium heat. When ghee is foamy, add remaining garlic and remaining ginger. Sauté, stirring, until fragrant (1-2 minutes). Stir in curry powder and cook until combined (about 1 minute). Add crushed tomatoes and cook, stirring occasionally, until flavors are melded (about 3 minutes). Stir in heavy cream and cook until warmed through (about 1 minute).",2
7,6,"Season tomato sauce with salt and pepper as desire. Add meatballs over medium heat and cook, stirring, until warmed through (about 1 minute). Transfer meatballs and curry tomato sauce to plates with greens.",2
8,1,"Bring a large pot of water to boil over high heat.  Mince the garlic.  Halve lemon.  Wipe mushrooms clean.  Halve cremini mushrooms.  Discard tough stems of oyster mushrooms and break into bite-size pieces.  Rinse asparagus, trim woody ends, and cut in to 2-inch pieces.",2
8,2,"Heat tablespoon of olive oil in a large pan over medium-high heat.  When the oil is shimmering, add the mushrooms in a layer with the cremini cut-side down.  Season with ¼ teaspoon of salt and pepper as desired.  Cook without moving until browning (4-5 minutes) then stir and sauté until crisp (2–3 minutes more.  Transfer to a plate.",2
8,3,"While mushrooms sauté, add salt generously to a pot of boilng water.  Stir in porcini pasta and cook until al dente (6 – 7 minutes.  Reserve ½ cup pasta cooking water, then drain and set aside.",2
8,4,"Wipe pan from mushrooms clean and add 1 tablespoon olive oil over medium heat.  Add garlic and asparagus and sauté, stirring, until bright green (3–4 minutes).  Stir in peas, white wine, heavy cream, and the juice of 1 lemon.  Increase the heat to medium high and simmer until reduced by ½ (2-3 minutes more). Season with ¼ teaspoon salt and pepper as desired.",2
8,5,"Add porcini pasta to pan with garlic cream sauce over medium heat and stir to combine. Add reserved pasta cooking water, 1 tablespoon at a time until sauce clings to noodles. Remove pan from heat.  Stir in the pecorino and mushrooms.",2
9,1,"Bring a large pot of water to a boil over high heat.  Mince garlic.  Peel onion, halve, and thinly slice.  Rinse green beans and trim and discard ends.",2
9,2,"Add salt generously to the pot of boiling water  Stir in long life noodles, allow to return to a boil, and cook until tender but still chewy (2 to 3 minutes).  Drain and rinse under cold water for 30 seconds to stop cooking.  Return to pot, off the heat.",2
9,3,"Add salt generously to the pot of boiling water  Stir in long life noodles, allow to return to a boil, and cook until tender but still chewy (2 to 3 minutes).  Drain and rinse under cold water for 30 seconds to stop cooking.  Return to pot, off the heat.",2
9,4,"While beef and lamb browns, in a medium bowl, whisk together soy sauce, cornstartch, Shaoxing rice wine, rice wine vinegar, as much crushed red pepper as desired, garlic and remaining sesame oil until fully combined.",2
9,5,"Add long life noodles, vegetables, and sauce to pan with beef and lamb over medium heat.  Cook, stirring until noodles are warmed through (about 1 to 2 minutes).",2
9,6,Serve beef and lamb noodles in your favorite bowls and enjoy a taste of X'ian cuisine.,2
10,1,"Strip thyme leaves, discarding the stems.  Peel the onion, halve it, and thinly slice it.  Halve the lemon.  Rinse the arugula.  In a large bowl, whisk together juice of 1/2 lemon and 1 tablespoon olive oil to make dressing.  Season with kosher salt to taste.  Use the remaining lemon juice to brighten a glass of water.",2
10,2,"Heat butter in a medium pan over medium-high heat.  When the butter is foamy, add thyme and onion and cook, stirring occasionally, until light brown and softened (about 5 minutes).  Add 1 tablespoon water and reduce heat to medium.  Cook, stirring continuously, until golden brown and very soft (about 5 more minutes).",2
10,3,"While onion cooks, season beef with salt and pepper to taste.  Using hands, mix well.  Divide mixture evenly and form into 2 patties about 1/2-inch thick.  Using your thumb, make a dimple in the center of each.",2
10,4,"Add flour to pan with onion over medium heat and stir vigorously until flour is no longer visible (about 2 to 3 minutes).  Increase the heat to high and bring to a boil, then reduce heat to medium high and simmer, stirring occasionally, until sauce is thickened and reduced by 2/3 (about 2 to 3 minutes).  Remove pan from heat.  Season with salt and pepper to taste.",2
10,5,"While onion cooks, heat 1 teaspoon of olive oil in a medium pan over medium heat.  When oil is shimmering, add burgers and sear until browned on bottom (about 4 minutes).  Flip and sear until browned on outside (3 to 4 minutes).  Spoon over oinion gravy, top with gruyere, dividing evenly.  Cover pan and cook until cheese is melted (1 to 2 minutes more).  Remove burgers from pan.",2
10,6,"Add arugula to bowl with dressing and toss to coat.  Wipe pan from burgers clean.  Halve English muffins crosswise, then add cut-side down to pan over medium heat.  Toast until light golden (about 2 minutes) then spread mustard over cut sides.  Add burgers to bottoms and finish with tops.  Serve with salad and any remaining onion gravy alongside.",2
11,1,"Preheat a grill or grill pan to medium-high heat. Rinse asparagus and trim and discard woody ends. Break open garbanzo bean pods and remove beans, discarding pods. Halve ciabattas lengthwise.",2
11,2,"In a large bowl, toss asparagus with ½ tablespoon olive oil, ¼ teaspoon salt and pepper as desired. Arrange on grill in a single layer and grill until bright green and charred in spots, flipping halfway through, about 6 minutes total. Remove and set aside.",2
11,3,"While asparagus grills, heat butter in a medium pan over medium-high heat. When butter is foamy, add garbanzo beans and sauté, stirring, until lightly browned and softened, 2-3 minutes. Remove pan from heat. Season with 1/8 teaspoon of salt and pepper as desired.",2
11,4,"Rub 1 tablespoon of olive oil over cut sides of ciabattas, then add to grill cut-side down. Grill until golden, about 3 minutes per side. Season cut sides with salt and pepper as desired. Meanwhile, stir together goat cheese and ½ tablespoon olive oil in a medium bowl to make spread.",2
11,5,"While ciabattas grill, whisk together Champagne vinegar, mustard, honey, and 2 tablespoons olive oil in bowl from asparagus.  Season with salt and pepper as desired. Set 1 tablespoon of the vinaigrette aside and then add sweet pea lettuce mix to the bowl and toss to coat.",2
11,6,Spread the goat cheese spread over the cut sides of the ciabattas.  Top with asparagus and garbanzo beans. Drizzle over the remaining vinaigrette and enjoy with salad alongside.,2
12,1,Peel and mash up the avocados in a bowl with a fork.,2
12,2,"Mince the onion, garlic, and jalapeño.",2
12,3,Mix the minced vegetables with the avocado.,2
12,4,"Add the lime juice, cilantro and salt.  Mix.",2
13,1,"Pat the chuck roast dry between a few paper towels, then season all over with salt and pepper.",2
13,2,"Set the Instant Pot to sauté on high. Heat the oil until shimmering but not smoking, then add the roast. Cook until well browned on both sides, about 6 minutes per side. Remove to a plate using tongs. ",2
13,3,"Add the beef broth to the pot, then scrape any browned bits from the bottom of the pot with a wooden spoon. Stir in the ranch seasoning mix until just dissolved. Return the roast to the pot (it's okay if the roast is not fully submerged in the broth). Scatter the pepperoncini on top.",2
13,4,"Lock the lid and prepare to cook. Set the pressure cook on high for 55 minutes. After the pressure cook-cycle is complete, follow the manufacturer's guide for a natural release. After 10 minutes, being careful of any remaining steam, unlock and remove the lid. Transfer the roast to a cutting board using tongs, leaving the broth in the pot. Shred the beef, discarding any large pieces of fat.",2
13,5,Skim off as much fat as possible from the pot. Add the shredded beef back to the broth. Allow to cool and then eat it.,2
14,1,"Peel shallot, halve, and thinly slice it. Rinse squash and halve. Rinse baby kale.",2
14,2,Heat 1 tablespoon olive oil in a large pan over medium-high heat. Season chicken all over with ½ teaspoon of salt and pepper as desired. Ad to pan skin-side down and sear until skin is crisp (6-8 minutes).,2
14,3,"While chicken sears, whisk together white wine, apple cider vinegar, honey, and herbes de Provence in a medium bowl until fully combined.",2
14,4,"After 6-minutes, flip chicken and add squash to pan, scattering around. Drizzle ½ tablespoon olive oil over squash. Season with ¼ teaspoon salt and pepper as desired. Cook together until squash is becoming tender (3-4 minutes). Pour sauces over chicken and continue cooking until chicken is cooked through and no longer pink and squash is tender (3-4 minutes). Remove pan from heat.",2
14,5,"While chicken and squash cook, heat butter in a separate large pan over medium heat. When butter if foamy, add sugar and shallot and sauté, stirring, until caramelized (5-7 minutes). Stir in baby kale. Season with salt and pepper as desired. Sauté until kale is wilted (2-4 minutes). Remove pan from heat. Stir in pecorino.",2
15,1,Heat olive oil in a saucepan over medium high heat.,2
15,2,"Add ground chicken and cook until browned, about 3-5 minutes, making sure to crumble the chicken as it cooks.",2
15,3,Drain excess fat.,2
15,4,"Stir in garlic, onion, hoisin sauce, soy sauce, rice wine vinegar, ginger and Sriracha until onions have become translucent, about 1-2 minutes.",2
15,5,"Stir in chestnuts and green onions until tender, about 1-2 minutes.",2
15,6,"Season with salt and pepper, to taste.",2
15,7,"To serve, spoon several tablespoons of the chicken mixture into the center of a lettuce leaf, taco-style.",2
16,1,Preheat oven to 400 degrees.,2
16,2,Cut spaghetti squash in half lengthwise. Place spaghetti squash cut side down on a baking sheet and bake for 20-25 minutes or until the skin of the squash gives when you press on it. Then reduce oven heat to 350 degrees.,2
16,3,"Once squash is done cooking, remove threads and place in a baking dish.",2
16,4, Place a large pan over medium heat. Add Italian sausage and onion. Cook until pink no longer remains in the sausage and it is broken up into pieces.,2
16,5,"Add pizza sauce, dried basil and salt and pepper to the pan and mix well.",2
16,6,Add sausage mixture to the baking dish.,2
16,7,"Lastly, add whisked eggs to the baking dish and mix everything together until you can no longer see the eggs.",2
16,8,Place in oven and bake for 1 hour or until the top of the mixture forms a slight crust.,2
16,9,Let rest for 5 minutes before serving.,2
17,1,Heat oven to 400 degrees Fahrenheit.,2
17,2,Take chicken meat off the bone and shred. Use a knife and fork or your hands.,2
17,3,Lemons / Onions / Mint - Prep as directed. Store separately.,2
17,4,"Make tzatziki - Dice cucumbers and chop garlic. Combine cucumbers, garlic, mint, and yogurt. ",2
17,5,Tomatoes / Lettuce - Prep as directed.,2
17,6,Toast flat breads or pitas on a sheet pan for 4 to 5 minutes.,2
17,7,Heat a skillet or sauté pan over medium heat. Add oil and then onions to heated oil. Sauté for ~2 minutes.,2
17,8,"Add chicken with cumin, paprika, and oregano. Sauté for another 2 minutes, just to warm chicken up.",2
17,9,Add vinegar and sauté for another 30 seconds and remove from heat.,2
17,10,Season with some salt and pepper.,2
17,11,"Assemble wraps with chicken, tzatziki, tomatoes, lettuce, feta, and a squeeze of fresh lemon juice. Drizzle remainder of tzatziki over tomatoes and lettuce that cannot fit into wraps and enjoy as a side salad!",2
18,1,"Preheat oven to 425 degrees Fahrenheit.  Bring a medium pot of water to a boil over high heat. Trim and discard skin of ginger and mince.  Rinse, trim and discard roots and thinly slice the scallions.  Rinse broccoli.  Cut chicken into 1-inch cubes.",2
18,2,Add salt generously to pot of boiling water.  Stir in rice and cook until tender (about 10 minutes).  Drain and set aside.,2
18,3,"While rice cooks, season chicken all over with salt and pepper as desired.  On half of a baking sheet place the chicken.  On the other half, add tossed broccoli with half of the garlic, half of the scallions, the olive oil, and salad and pepper as desired.  Arrange the sheet in one layer, transfer to the oven, and roast until the chicken is cooked through and no longer pink and the broccoli is crisp (about 12 to 15 minutes).",2
18,4,"While roasting, in a medium sauce pan, add soy sauce, honey, hoisin sauce, ginger, remaining garlic, and Sriracha as desired over medium heat.  Cook, stirring, until sticky and just bubbling (about 3 to 5 minutes).  Remove pan from heat.",2
18,5,Pour glaze over roasted chicken and toss to coat.,2
18,6,Serve and garnish chicken with sesame seeds and remaining scallions.  Serve with broccolini and rice alongside.,2
19,1,"Preheat oven to 425 degrees Fahrenheit. Halve lemon.  Rinse fennel and halve.  Remove and discard core and slice as thinly as possible.  Rinse potatoes and cut crosswise into 1/4-inch slices.  Peel onion, halve, and thinly slice.",2
19,2,"Heat 1 tablespoon olive oil in a large ovenproof (at least 12 inches) pan over medium-high heat. When oil is simmering, add fennel and onion.  Season with salt and pepper as desired.  Saute, stirring until softened, about 5 minutes.  Transfer to a plate and set aside.",2
19,3,Season chicken all over with salt and pepper as desired.  Add to pan from previous step over medium-high heat and sear until browned (about 5 minutes).  Remove from pan and set aside.,2
19,4,"While chicken sears, whisk fennel seed, oregano, dried rosemary, dried thyme, honey, juice of 1 lemon, and 2 tablespoons olive oil in a small bowl.  Season with salt and pepper as desired.",2
19,5,"Add sauteed fennel and onion to pan from chicken.  Place chicken on top, then pour over sauce.  On a baking sheet, toss potatoes with 1 tablespoon olive oil, salt and pepper as desired.  Arrange in a single layer.  Transfer to oven along with pan with vegetables and chicken.  Roast together until all vegetables are tender and chicken is cooked through (about 12-15 minutes).",2
19,6,Serve chicken on top of vegetables.  Pour any remaining sauce from the pan on top.,2
20,1,"Heat 1 tablespoon of the coconut oil in a large skillet over medium-high heat. Working in batches, brown the meat on all sides.",2
20,2,"Use a slotted spoon to transfer each batch of browned meat directly to the slow cooker, then continue browning. Wipe out the skillet between batches if a lot of liquid has accumulated at the bottom to ensure even browning.",2
20,3,"Wipe out the skillet and add the remaining 1 tablespoon of coconut oil. Saute the onion, garlic, and ginger over medium-high heat for 5 minutes.",2
20,4,Pour in the coconut milk and stir continuously to release the browned bits on the bottom of the pan.,2
20,5,"Add the tomato paste, curry paste, fish sauce, lime juice, and salt, then pour the mixture over the beef in the slow cooker.",2
20,6,"Cook on high for 5 hours or low for 8 hours. Add the broccoli, carrots, and jicama during the last 30 minutes if cooking on high, or the last hour if cooking on low. Serve garnished with cilantro.",2
21,1,Preheat oven to 425 degrees Fahrenheit.  Rinse mushrooms.  Roughly chop tarragon leaves and discard the stems.  Peel shallot and mince.  Rinse pea shoots and roughly chop.  Cut butter into small pieces and place in refrigerator to chill until ready to use.,2
21,2,"Heat 1 table spoon olive oil in a medium pan over medium-high heat.  When oil is simmering, add mushrooms and saute, stirring, until golden brown (about 5 minutes).  Add peas and pea shoots.  Season with salt as desired and saute, stirring, until bright green (about 1 minute).  Transfer to a plate and set aside.",2
21,3,"Add heavy cream, Gruyère, and sauteed vegetables to an aluminum tin.  Toss to combine, then arrange in an even layer.  Scatter over breadcrumbs and sprinkle Pecorino on top.  Transfer to oven and bake until bubbling and golden, about 12 minutes.",2
21,4,"While gratin bakes, season chicken with salt and pepper as desired.  Wipe pan from vegetables clean, add chicken over medium-high heat, and sear without moving on both sides (about 6 to 8 minutes total).  Reduce heat to medium and cook through until no longer pink (about 6 more minutes).  Remove from pan and set aside.",2
21,5,"Place pan from chicken over medium heat.  Add shallot and saute stirring until soft and translucent (about 1 to 2 minutes).  Stir in white wine and cook, scraping up browned bits, until reduced by one half (about 1 minute).  Add tarragon and cook, stirring, until combined (about 30 more seconds).  Remove pan from heat and stir in chilled butter to melt.  Return chicken to pan while turning in the mixture to coat it.",2
21,6,Spoon pan sauce over chicken and serve with the vegetable gratin alongside.,2
22,1,"Preheat oven to 450 Fahrenheit.  Roughly chop the oregano leaves, discarding the stems. Rinse the bell pepper and halve lengthwise, discarding the seeds.  Cut into ½-inch dice. Peel the onion and mince half of it, saving the remainder for something else like the trash or throwing at people.",2
22,2,"Heat 1 tablespoon of olive oil in a medium pan over medium-high heat.  When oil is shimmering, add bell pepper and onion and cook, stirring, until lightly charred (about 6 minutes).",2
22,3,"Add corn and oregano to pan with bell pepper and cook, stirring, until warmed through (about 3-5 minutes).  Season with salt and pepper as desired.  Transfer the mixture to a bowl and set aside.",2
22,4,"Wipe the pan from any residual vegetable stuff and add ½ tablespoon of olive oil over medium-high heat. When oil is shimmering, add beef. Season with the chili powder, cumin, garlic powder, union powder, and dried oregano and ½ teaspoon of salt. Cook the meat, breaking up the chunks with the back of a spoon until browned (about 5-7 minutes). Remove the pan from heat.",2
22,5,"While the beef browns, stack the tortillas, wrap them in foil, and place in the oven to warm for about 5 minutes.",2
22,6,"Using a slotted spoon, put yo beef in the tortillas, dividing evenly.  Add salsa and charred vegetables.  Sprinkle cheddar on top.",2
23,1,Pre-heat oven to 350 Fahrenheit. ,2
23,2,"In a pan, brown the turkey meat.",2
23,3,Cook the rice according to manufacturer's specifications.,2
23,4,"Once the meat is browned, turn the heat to low and add the tomatoes and tomato sauce.",2
23,5,Add all seasonings to the meat/tomato mixture and stir.,2
23,6,Add rice to meat mixture and stir.,2
23,7,Transfer meat mixture to a casserole dish and spread it evenly.,2
23,8,Top with a generous amount of shredded cheese and bake for 10 to 20 minutes.,2
23,9,Let cool and serve.,2
